rowid,inst_name_full,country.name,year,region,inst_type,mfiname,asofdate,inst_num,year_founded,permfi,mfiid,diamonds,assets,numborrs,numborrsind,numborrsgrp,numborrsshg,numloans,numloansind,numloansgrp,numloansshg,loanport,loanportind,loanportgrp,loanportshg,avgbalnc,avgbalncpinc,avgloanpbpinc,oss,frpa,fepa,oepa,cpb,cpl,par30,par90,writeoffratio,loanlossrate,maxdiamonds,regular_case,log_par30,log_par90,age,share_grp,log_avg_loan,log_ass_loan,log_numborrs,wdi_gdpgrowth,wdi_rural,wdi_laborforce,wdi_fdi,wdi_manufac,wdi_agricul,wdi_remittances,wdi_gini,wdi_inflation,wdi_privcredit,wdi_bankdens,wdi_atmdens,db_getcredit,db_enfcontract,db_registprop,wgi_cor,wgi_eff,wgi_reg,wgi_acc,wgi_law,wgi_sta,wdi_gdp,wdi_gdp_sq,swiid_gini,hdi,hdi_sq,efi_score,fgi_econ,fgi_ineq,cooperation,coop_srvy_years,ling_cluster
1,"""GLOBAL CREDIT"" Universal Credit Organization",Armenia,2011,Eastern Europe and Central Asia,Credit Union/Cooperative,Global Credit,2011-12-31,408,2010,1,149980,4,8564507.93,713,0,0,0,785,722,63,0,8026547.75,6732863.22,1293684.54,0,10224.9,2.9777,3.2784,1.5129,0.1602,0.0701,0.0351,NA,NA,0.0013,6e-4,0,0,4,TRUE,-6.645391014514647,-7.418580902748128,1,0.161175709694121,9.23258135664529,0.0648721624071597,6.5694814204143,5.3190183518382,36.66,69.313,6.44066836705362,10.56847933437687,20.325348252764677,17.7342235057518,29.4,7.650008078592899,35.367887872035,19.9797871872171,43.5412640861815,68.8,58.5,92.9,-0.664559423923492,-0.108996279537678,0.246940597891808,-0.690779805183411,-0.43770641088485707,-0.06386898458004,9551.15813085673,91224621.6406306,35.7,0.75,0.5625,69.7,5.3,6.2,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
2,"""GLOBAL CREDIT"" Universal Credit Organization",Armenia,2012,Eastern Europe and Central Asia,Credit Union/Cooperative,Global Credit,2012-12-31,408,2010,1,149980,4,13369812.68,1088,0,0,0,1088,730,358,0,12634421.92,5007681.25,7626740.67,0,11612.52,3.3818,3.3818,1.3915,0.1587,0.0783,0.0291,347.9743,322.1502,0.0041,0.0033,0,0,4,TRUE,-5.496768305271875,-5.713832810509703,2,0.60364777417533,9.35983911806645,0.0565743930264352,6.99209642741589,7.7353708344903005,36.76,69.308,4.67672787765567,9.42475853227752,17.9126819526397,18.0330189489986,29.6,2.55802007757907,40.0600551046667,21.2788869505287,50.3973638301997,75,50.7,92.9,-0.588001489639282,-0.0269024036824703,0.334273397922516,-0.570491433143616,-0.41828197240829507,0.154794976115227,10289.9756312671,105883598.49207076,36.1,0.755,0.570025,68.8,5.6,5.9,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
3,ABC Capital S.A. Institución de Banca Múltiple,Mexico,2010,Latin America and The Caribbean,Bank,ABC Capital,2010-12-31,4,2007,1,102942,3,56495498.14,3438,0,0,0,3772,2473,1299,0,14833367.99,14538958.1,294409.89,0,3932.49,0.3764,0.4129,0.1762,0.0526,0.0283,0.2402,4046.8715,NA,0.0647,0.0638,0,-0.0092,4,TRUE,-2.7379940774752822,-2.752002088631393,3,0.0198478113802933,8.27702915111678,1.33728171913396,8.1426451859428,3.73285194759218,22.185,63.625,2.88567601357931,15.5616793495315,3.21915447615495,2.08737304881148,47.2,4.15672722680176,23.3288215281352,14.0898365341479,45.1702851614065,NA,NA,NA,-0.439748138189316,0.0992598310112953,0.156337782740593,0.178501576185226,-0.552031338214874,-0.7264634370803831,18036.7175885079,325323181.3675903,46,0.746,0.556516,68.3,6.5,8,7.67500545932142,2000; 2005; 2012; 2018,cluster_02
4,"ABS-CBN Bayan Foundation, Inc.",Philippines,2008,East Asia and the Pacific,NGO,ABS-CBN,2008-12-31,5,1997,1,101109,4,6547272.62,39991,0,39991,0,39991,0,39991,0,5196340.75,0,5196340.75,0,129.94,0.0764,0.0764,0.824,0.5114,0.0247,0.479,110.1045,110.1045,0.1814,0.1154,0.0665,0.0665,4,TRUE,-1.707050741301101,-2.159350924908138,11,1,4.86705552613439,0.231093893088133,10.59640970777978,2.41093432953198,54.545,62.715,0.737800788965931,23.2686676777552,14.5160747573134,10.3789215725364,NA,8.26044703595726,27.8760610609157,7.5671931699709,13.1723953966145,25,50.6,62.9,-0.778095126152039,0.0629234835505486,-0.0791466757655144,-0.138752609491348,-0.550221860408783,-1.77923631668091,5596.91304505301,31325435.63388456,41.9,0.668,0.446224,55.96329499,5.9,7.6,7.01363085228845,2001; 2012; 2019,cluster_09
5,ACAD Finance,Palestinian Territories,2008,Middle East and North Africa,NBFI,ACAD,2008-12-31,7,1995,1,100567,4,3532750,2542,2542,0,0,2542,2542,0,0,2529741,2454470,0,0,995.18,0.491,0.491,1.1314,0.1377,0,0.1816,282.2102,NA,0.3104,0.1891,0,-0.019,4,TRUE,-1.1698934906730734,-1.665479303317725,13,0,6.90292103217248,0.333959678523116,7.8407064517494,4.51371143942183,26.296,40.853,0.70458524841322,10.9200590938936,10.1280367695338,10.1324738114759,NA,9.88999788691853,17.5729199943916,10.4068588598127,11.8371854329623,6.3,50.1,70,-0.440319508314133,-1.27342355251312,-1.12084209918976,-0.8620807528495789,-0.758877277374268,-1.9904299974441502,4965.37294950639,24654928.52768978,37.7,0.677,0.458329,NA,NA,NA,8.32436957711939,2013,cluster_08
6,ACAD Finance,Palestinian Territories,2009,Middle East and North Africa,NBFI,ACAD,2009-12-31,7,1995,1,100567,3,3919736,3059,3059,0,0,3059,3059,0,0,3194963,3194486,0,0,1044.45,0.461,0.461,0.9749,0.1914,0.0171,0.1997,265.7218,265.7218,0.3669,0.2655,0,-0.0157,4,TRUE,-1.0026659476209008,-1.3261404383001434,14,0,6.95124272098113,0.204448797427925,8.0258433441509,5.73457681316152,26.077,41.056,3.7160419011341,10.7758140915443,10.0213957975191,9.34038992133322,34.5,2.75393485083151,19.53363220723,10.8738697585811,14.482664962302302,25,50.1,70.5,-0.108424991369247,-0.675499498844147,-0.209515675902367,-0.953719019889832,-0.31480073928833,-2.04333114624023,5250.11607535578,27563718.80470917,37.8,0.682,0.465124,NA,NA,NA,8.32436957711939,2013,cluster_08
7,ACAD Finance,Palestinian Territories,2010,Middle East and North Africa,NBFI,ACAD,2010-12-31,7,1995,1,100567,4,4644356,3389,0,0,0,3389,3389,0,0,3901414,3761117,0,0,1151.2,0.4742,0.4742,1.1368,0.1838,0.0151,0.1816,241.1473,241.1473,0.1507,0.1082,0,-0.009,4,TRUE,-1.892464173349687,-2.223773912569756,15,0,7.04855943788491,0.174313667423286,8.12829017160705,3.0656542562540094,25.851,41.602,1.85860711452246,12.2295098899964,9.00273717915612,9.5764022790779,35.3,3.74915727597098,21.3595304440428,10.5270191967061,15.332832308245802,25,52.8,71.4,-0.113489478826523,-0.373958826065063,0.213046863675117,-0.823600351810455,-0.209301576018333,-1.9735754728317298,5411.0664822782,29279640.47563457,37.9,0.687,0.471969,NA,NA,NA,8.32436957711939,2013,cluster_08
8,ACAD Finance,Palestinian Territories,2014,Middle East and North Africa,NBFI,ACAD,2014-12-31,7,1995,1,100567,2,7135468,2747,0,0,0,2747,2745,2,0,5384095,5363095,21000,0,1959.99,0.6254,0.6254,0.6949,NA,NA,NA,NA,NA,0.082,0.0507,NA,NA,4,TRUE,-2.501036031717884,-2.9818293683849997,19,0.00390037694357181,7.58069510892946,0.28162860386863803,7.91826468609527,-2.47102630481804,24.887,43.821,1.14163752860063,10.7507666354532,7.83505007255338,12.899078926201,NA,1.73298510037451,27.3246796047092,11.0400976346089,22.0400494596374,37.5,54.5,68.5,-0.283548146486282,-0.488269746303558,0.2057785987854,-0.881757915019989,-0.383387714624405,-1.98501086235046,5967.07343700875,35605965.40265542,38.3,0.698,0.487204,NA,NA,NA,8.32436957711939,2013,cluster_08
9,ACTUAR Famiempresas - Tolima,Colombia,2013,Latin America and The Caribbean,NGO,Actuar Tolima,2013-12-31,64,1986,1,100659,4,7668295.29,9090,0,0,0,9392,9392,0,0,6545160.32,6545160.32,0,0,696.89,0.0918,0.0949,1.1922,0.365,0.0408,0.2457,211.4808,204.5608,0.0545,0.0321,0.0315,0.0226,5,TRUE,-2.9095545773129388,-3.438899248846167,27,0,6.54662290999264,0.15836843973536,9.11493018717152,4.09826590865887,20.939,72.896,4.24227561438917,12.6623563037308,5.39271495449473,1.16452340976978,52.6,2.01699224310378,39.4836916913458,15.6633761924944,39.5166586014627,56.3,36.2,73.8,-0.44105258584022494,0.0554467886686325,0.339824229478836,-0.0812788382172585,-0.387949466705322,-1.29197180271149,13465.0750436526,181308245.9311961,49,0.746,0.556516,69.6,3.8,8.1,8.51709960356755,1998; 2012; 2018,cluster_02
10,ACTUAR Famiempresas - Tolima,Colombia,2014,Latin America and The Caribbean,NGO,Actuar Tolima,2014-12-31,64,1986,1,100659,1,6982182.78,9676,0,0,0,10031,10031,0,0,5949203.6,5949203.6,0,0,593.08,0.0781,0.081,1.1924,0.4121,0.0619,0.2726,212.849,205.6492,0.0355,0.0138,0.0352,0.0235,5,TRUE,-3.338222582500767,-4.283086686818978,28,0,6.38533234294029,0.160104225226032,9.17740387172992,3.51395347912819,20.585,73.13,4.24250535994703,12.2693186420816,5.4469572147442,1.09304610344522,52.6,2.89883787761738,42.3846056970013,15.6472075883702,40.968473816419,56.3,37.7,74,-0.397179245948792,-0.137135624885559,0.444412022829056,-0.0433012023568153,-0.251975983381271,-1.11459410190582,13938.2315166162,194274297.81079316,48.6,0.75,0.5625,70.7,4.1,7.8,8.51709960356755,1998; 2012; 2018,cluster_02
